Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
02/20/2018;Power clean + P.Jerk;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 1 @ 50 kg;TRUE;PR by 15 kg vs. 35 on 11/17/2017;Weight;;FALSE
02/20/2018;Hang Snatch + Snatch;CrossFit Sudurnes;12:00 Ólympískar lyftingar;6 x 1 @ 20 kg;FALSE;;Weight;;FALSE
02/20/2018;Muscle Snatch + Hang Snatch + Snatch;CrossFit Sudurnes;12:00 Ólympískar lyftingar;6 x 1 @ 20 kg;FALSE;;Weight;;FALSE
02/20/2018;2x Power Clean + 2x P.Jerk;CrossFit Sudurnes;12:00 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
02/06/2018;Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 47.5 kg;FALSE;;Weight;;FALSE
02/06/2018;Hang clean + clean + Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
02/06/2018;Power Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 19 @ 30 kg;FALSE;;Weight;;FALSE
02/06/2018;Power Clean + Jerk + Hang Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
02/06/2018;Power Snatch + Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
01/25/2018;Back Squat;CrossFit Sudurnes;12:00 CrossFit;1 x 6 @ 40 kg;FALSE;;Weight;;FALSE
01/22/2018;Deadlift;CrossFit Sudurnes;16:30 CrossFit;4 x 8 @ 55 kg;FALSE;;Weight;;FALSE
12/07/2018;Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 25 kg;FALSE;;Weight;;FALSE
12/07/2018;Power clean + P.Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 36 @ 20 kg;FALSE;;Weight;;FALSE
12/07/2018;Power Snatch + Snatch Back Squat Thruster;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 25 kg;FALSE;;Weight;;FALSE
12/07/2018;Power clean + Hang clean & Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
10/26/2018;Clean and Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 55 kg;TRUE;PR by 5 kg vs. 50 on 09/07/2018;Weight;;FALSE
10/26/2018;Power Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;10 x 1 @ 30 kg;FALSE;;Weight;;FALSE
10/26/2018;Power Snatch + Hang Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 32.5 kg;FALSE;;Weight;;FALSE
10/26/2018;Hang clean + clean + Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
10/26/2018;Muscle Clean + Tall Clean;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
10/16/2018;Power Clean + Cluster + Clean & Jerk;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 45 kg;TRUE;PR by 2.5 kg vs. 42.5 on 04/18/2018;Weight;;FALSE
09/18/2018;Bulgarian Split Squat;CrossFit Sudurnes;17:30 CrossFit;4 x 16 @ 8 kg;TRUE;PR by 0.5 kg vs. 7.5 on 06/05/2018;Weight;;FALSE
09/13/2018;Power Clean + Hang Power Clean + Jerk;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 50 kg;FALSE;;Weight;;FALSE
09/07/2018;Muscle Snatch + Push Jerk + O.H.Sq.;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 27.5 kg;FALSE;;Weight;;FALSE
09/07/2018;Clean D.L. + Tall Clean & Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
09/07/2018;Hang Snatch + Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 25 kg;FALSE;;Weight;;FALSE
09/07/2018;Clean and Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 50 kg;FALSE;;Weight;;FALSE
09/05/2018;Deadlift;CrossFit Sudurnes;16:30 CrossFit;1 x 3 @ 85 kg;FALSE;;Weight;;FALSE
